num_epsilon,total_time,NOS,MID,distance
5,54.64437447899945,10,17.132462014603995,21.80818219958896
6,107.91165101099978,17,18.346745762314494,23.81749201760033
7,191.1201980779988,14,17.876849220019814,21.777275042029427
8,277.5325536329983,13,18.38629015762931,21.752096750339415
9,395.95536759699826,10,17.491524958930334,23.155864611177797
10,508.6867048409986,15,16.721853235375114,21.917521733598313
11,692.4316412319968,26,16.835191572879296,23.817128021696583
12,931.5308537399978,18,16.648430237524668,22.11060894199411
