problem_id,NOS,MID,distance
0,2,19.306238221670704,2.559323480548991
0,2,19.306238221670704,2.559323480548991
0,2,19.306238221670704,2.559323480548991
0,2,19.306238221670704,2.559323480548991
0,2,19.306238221670704,2.559323480548991
1,9,14.642206651075757,12.704074985868603
1,6,13.660910729090972,4.543036918643045
1,6,14.035500714714608,6.943601366098752
1,6,14.171869503695886,6.0737513244227275
1,7,14.313607760126333,6.943601366098752
2,14,28.307437865682054,10.114178317509973
2,14,28.315972139316496,14.951140390196015
2,10,29.18190556816479,6.868394457523198
2,13,28.67353280885213,15.054547385541447
2,18,29.943436834456033,8.467063633186093
3,14,45.98535820266153,22.307391371419037
3,11,43.1236065689977,16.545351454023727
3,6,47.82497497871602,15.14441054406966
3,10,43.033293866524005,16.235279361509548
3,8,46.280357886966016,15.92883476038448
4,37,126.81535163196902,44.147987277444244
4,35,128.09798231383763,47.301242237527866
4,45,125.48543678225646,47.382282314319745
4,45,120.1015947714088,45.13306886496644
4,43,120.96497627396592,43.83349036018831
5,91,73.82480167382748,54.830931672537574
5,71,73.88520996428466,35.58844490850606
5,81,75.49320890083229,46.37482616017255
5,79,78.05667963186609,40.328178641676324
5,39,79.82211623387396,27.08536420636283
6,56,117.89792822715333,17.396232766091202
6,38,118.60088673045301,27.33028241240274
6,28,118.46351192321505,23.420509272756124
6,19,116.67441375379492,34.90806438845387
6,85,107.42018174439566,40.87856265282688
7,87,169.67605572407527,96.02043360576322
7,95,159.3415876124287,87.99954497668115
7,91,158.32541688422455,80.98232249780472
7,69,172.22642530080705,34.49530100847728
7,84,166.26394971858986,71.2349825258101
8,96,403.2915146717276,104.10777499441397
8,98,333.80074453207857,160.66392705708228
8,99,390.16777507524245,102.30194222851514
8,98,388.93803960130106,100.70309556985215
8,98,390.50373718451766,94.47057696162422
9,98,401.47207857137465,198.85379790885347
9,99,376.6620803189553,216.95079417619385
9,98,437.85919788927794,122.45336814883015
9,99,387.73877684500604,208.9585488564814
9,97,391.52327178604816,220.08778552972902
