run_id,time_initial_heuristic,time_MOSA,time_MOIWOA,total_time
0,0.024670969999533554,1.430737603000125,185.34380896899984,186.7992175419995
1,0.019141982999826723,1.4428796729998794,5.745921398000064,7.20794305399977
2,0.019447693999609328,1.4419489809997685,188.33808343500004,189.79948010999942
3,0.017584850999810442,1.4426478830000633,218.96071365900025,220.42094639300012
4,0.019235832000049413,1.4541656400006104,9.967720217000533,11.441121689001193
5,0.018917581999630784,1.4280580739996367,8.162362883000242,9.60933853899951
6,0.018356124999627355,1.455619616000149,189.0937553190006,190.56773106000037
7,0.01858423799967568,1.421365904000595,160.47926739299965,161.91921753499992
8,0.021348401000068407,1.4407033379993663,6.953689489999306,8.41574122899874
9,0.021150581000256352,1.4249360269996032,100.43016567300037,101.87625228100023
10,0.020622617000299215,1.478264377999949,243.1878365450002,244.68672354000046
11,0.016706784999769297,1.4468197309997777,235.48719545200038,236.95072196799993
12,0.020327055999587174,1.4479273489996558,6.405518716001097,7.87377312100034
13,0.019597173000875046,1.4552596699995775,232.01449477200003,233.4893516150005
14,0.017347413000607048,1.433456226999624,198.52368413099975,199.97448777099999
15,0.01847834899854206,1.4409902919996966,7.215295748999779,8.674764389998018
16,0.019456121999610332,1.434633100998326,7.3443996099995275,8.798488832997464
17,0.019163476999892737,1.4229284730008658,234.332957386001,235.77504933600176
18,0.01982883499840682,1.4356093569986115,8.094126824000341,9.54956501599736
19,0.018267966001076275,1.465352458999405,8.28280225600065,9.766422681001131
