num_epsilon,total_time,NOS,MID,distance
5,33.9182469580046,6,28.432174462925147,12.35097467354232
6,37.726255228997616,11,27.91518759815775,12.263496587654716
7,62.219470775002264,12,27.69423397665317,12.473970747645243
8,76.39406909100217,14,26.673965391268805,12.40460660801832
9,100.67438335800398,19,27.981263671502138,12.35097467354232
10,115.56715735000034,17,27.65664380465785,12.409939722821344
11,143.5446456879945,24,27.52286486937857,12.473970747645295
12,152.88603086300282,23,28.02562906841054,12.363850033701365
13,200.80557432799833,28,28.291387963509973,12.473970747794915
14,237.48838276900642,32,27.971733405006937,12.48671928435232
15,272.3835714129964,30,27.640377644455228,12.47397074764532
