problem_id,NOS,MID,distance
0,5,19.555621182554233,2.559323480548991
0,6,19.3062382216707,2.559323480548991
0,3,19.721876489809926,2.559323480548991
0,5,19.555621182554233,2.559323480548991
0,4,19.306238221670704,2.559323480548991
1,7,13.44229626668305,4.543036918643045
1,25,14.271872461052379,12.741142009461877
1,16,14.586027255995763,12.741142009461877
1,15,14.47000511353119,6.943601366098752
1,12,14.251759496617014,6.943601366098753
2,15,29.35005157421786,13.334519287458743
2,16,29.169089616584255,11.614053382523249
2,13,28.200191264367803,10.24825353108921
2,12,29.16563221505794,6.915057409944517
2,23,28.27520529663079,12.018581118948333
3,43,45.69225269585475,25.07737519685237
3,14,45.75492817809714,16.23527936150954
3,77,43.64532447560506,27.561198388789602
3,18,44.98542370208586,16.24982003622889
3,42,45.06105360257481,27.420652066846756
4,47,122.64573477768356,41.51172260679176
4,55,131.02068030520468,52.03723144078311
4,42,116.62120520990021,25.364993549619918
4,51,120.48067627025023,35.94976328189672
4,44,120.66516196290432,49.60160266009676
5,193,74.94795303900686,46.37482616017257
5,188,72.79832589971093,52.15026834663866
5,112,74.92123719577975,32.53914667388762
5,135,68.34906207061262,46.805829844767985
5,175,76.72086004174544,41.868458833350594
6,54,125.25046719700082,30.388134096353074
6,41,117.64887406175288,17.33869131515715
6,224,105.14885305715714,47.46519495509524
6,55,123.51931226402704,25.112564504398343
6,251,103.45056886703802,52.00651806743814
7,190,156.3652845767802,90.94415639732986
7,86,156.04069470948184,67.00512603442748
7,82,152.3162165450519,73.55476545796131
7,175,154.69183997495801,90.94415639732986
7,98,151.03809045103998,113.4229127660885
8,100,390.58658393350174,114.2864366392303
8,102,374.21290331409426,94.29635042372308
8,97,392.5496161041951,105.25766272551948
8,259,343.3721262683918,174.46557219983052
8,260,342.2073426630454,155.39691097662907
