run_id,time_initial_heuristic,time_MOSA,time_MOIWOA,total_time
0,0.028170762991067022,1.0332492720044684,162.1952059660107,163.25662600100623
1,0.02722993100178428,1.0391264819918433,242.33232923899777,243.3986856519914
2,0.022377953995601274,1.0274855510069756,189.2282229400007,190.27808644500328
3,0.03211005999764893,1.0379337310005212,197.7555807690078,198.82562456000596
4,0.02796822700474877,1.0426558500039391,252.35229779299698,253.42292187000567
5,0.0324199199967552,1.0493897029955406,202.08051133999834,203.16232096299063
6,0.0242455580009846,1.05538333801087,224.467703065995,225.54733196200687
7,0.024105228003463708,1.02159483799187,18.254615639991243,19.300315705986577
8,0.03384717799781356,1.0002294959995197,192.6357566450024,193.66983331899974
9,0.024175815997296013,1.0377563040092355,242.12406705701142,243.18599917701795
10,0.0294676790072117,1.003797384997597,224.2009491869976,225.2342142510024
11,0.02462379499047529,1.0530066640058067,248.32064944299054,249.39827990198683
12,0.02617570699658245,1.0328004930051975,160.27518345600402,161.3341596560058
13,0.027858161003678106,1.055808364006225,8.695889705006266,9.77955623001617
14,0.02683638500457164,1.0426356200041482,194.50156587100355,195.57103787601227
15,0.02563841300434433,1.04192033498839,201.9617695229972,203.02932827098994
16,0.024303219994180836,1.0405371509987162,192.9442265099933,194.0090668809862
17,0.019112264009891078,1.0237494280008832,251.1800871960004,252.22294888801116
18,0.027726619999157265,1.034162768002716,223.9019019999978,224.96379138799966
19,0.03605546600010712,1.048360116998083,163.52091250599187,164.60532808899006
